TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chr7 F1|7 59.31 cM	mouse chr7 F1|7 59.31 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	70349	Copb1
mouse chr14 E2.3|14 51.73 cM	mouse chr14 E2.3|14 51.73 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	50789	Fbxl3
mouse chr18 E3|18 51.42 cM	mouse chr18 E3|18 51.42 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	17126	Smad2
mouse chr9 F1|9 56.11 cM	mouse chr9 F1|9 56.11 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	74025	Nphp3
mouse chr7 F3|7 80.86 cM	mouse chr7 F3|7 80.86 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	627214	Insyn2a
mouse chr11 B2|11 37.9 cM	mouse chr11 B2|11 37.9 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	216821	Tmem11
mouse chr15 D3|15 34.82 cM	mouse chr15 D3|15 34.82 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	378435	Mafa
mouse chr8 E1|8 65.09 cM	mouse chr8 E1|8 65.09 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	68533	Mphosph6
mouse chr18 E1|18 34.4 cM	mouse chr18 E1|18 34.4 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	20044	Rps14
mouse chr6 E2|6 49.85 cM	mouse chr6 E2|6 49.85 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	20893	Bhlhe40
mouse chr18 B3|18 20.5 cM	mouse chr18 B3|18 20.5 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	24066	Spry4
mouse chr17 A3.3|17 11.72 cM	mouse chr17 A3.3|17 11.72 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	22654	Zfp13
mouse chr8 B1.1|8 26.88 cM	mouse chr8 B1.1|8 26.88 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	70925	Cdkn2aip
mouse chr9 A2|9 4.78 cM	mouse chr9 A2|9 4.78 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	75316	Taf1d
mouse chr7 E2|7 54.47 cM	mouse chr7 E2|7 54.47 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	18442	P2ry2
mouse chr17 E2- E3|17 48.57 cM	mouse chr17 E2- E3|17 48.57 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	225020	Fez2
mouse chr5 E2|5 45.58 cM	mouse chr5 E2|5 45.58 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	68098	Rchy1
mouse chr17 A3.3|17 15.38 cM	mouse chr17 A3.3|17 15.38 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	18712	Pim1
mouse chr7 B3|7 29.52 cM	mouse chr7 B3|7 29.52 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	19158	Cyth2
mouse chr8 E2|8 76.09 cM	mouse chr8 E2|8 76.09 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	16412	Itgb1
mouse chr10 C2|10 49.59 cM	mouse chr10 C2|10 49.59 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	216238	Eea1
mouse chr4 D3|4 70.3 cM	mouse chr4 D3|4 70.3 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	66259	Camk2n1
mouse chr1 E4|1 59.26 cM	mouse chr1 E4|1 59.26 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	27280	Phlda3
mouse chr1 H5|1 89.45 cM	mouse chr1 H5|1 89.45 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	98732	Rab3gap2
mouse chr3 D|3 28.51 cM	mouse chr3 D|3 28.51 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	72033	Tsc22d2
mouse chr1 C5|1 42.08 cM	mouse chr1 C5|1 42.08 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	76867	Rhbdd1
mouse chr3 F1|3 38.84 cM	mouse chr3 F1|3 38.84 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	16905	Lmna
mouse chr2 A2|2 10.42 cM	mouse chr2 A2|2 10.42 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	625286	Tmem236
mouse chr9 B|9 32.03 cM	mouse chr9 B|9 32.03 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	18746	Pkm
mouse chr17 D|17 29.11 cM	mouse chr17 D|17 29.11 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	20405	Sh3gl1
mouse chr11 B1.1|11 27.45 cM	mouse chr11 B1.1|11 27.45 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	216705	Clint1
mouse chr11 B5|11 47.89 cM	mouse chr11 B5|11 47.89 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	69077	Psmd11
mouse chr11 C|11 51.75 cM	mouse chr11 C|11 51.75 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	327987	Med13
mouse chr8 B2|8 29.85 cM	mouse chr8 B2|8 29.85 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	60406	Sap30
mouse chr4 A1|4 4.86 cM	mouse chr4 A1|4 4.86 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	71801	Plekhf2
mouse chr13 A1|13 2.94 cM	mouse chr13 A1|13 2.94 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	23849	Klf6
mouse chr18 B3|18 19.71 cM	mouse chr18 B3|18 19.71 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	13367	Diaph1
mouse chr6 G1|6 65.83 cM	mouse chr6 G1|6 65.83 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	232431	Gprc5a
mouse chr7 C|7 36.15 cM	mouse chr7 C|7 36.15 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	545975	Cers3
mouse chr19 D2|19 47.98 cM	mouse chr19 D2|19 47.98 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	240672	Dusp5
mouse chr2 C1.1|2 34.46 cM	mouse chr2 C1.1|2 34.46 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	57438	Marchf7
mouse chr16 C3.3|16 51.5 cM	mouse chr16 C3.3|16 51.5 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	21844	Tiam1
mouse chr11 B1.3|11 30.42 cM	mouse chr11 B1.3|11 30.42 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	103806	Maml1
mouse chr18 B1|18 17.92 cM	mouse chr18 B1|18 17.92 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	73473	Iws1
mouse chr8 E1|8 71.31 cM	mouse chr8 E1|8 71.31 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	234839	Piezo1
mouse chr6 A2|6 7.83 cM	mouse chr6 A2|6 7.83 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	17295	Met
mouse chr6 B3|6 27.73 cM	mouse chr6 B3|6 27.73 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	210973	Kbtbd2
mouse chr4 A1|4 1.98 cM	mouse chr4 A1|4 1.98 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	72098	Tmem68
mouse chr1 F|1 61.45 cM	mouse chr1 F|1 61.45 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	12316	Aspm
mouse chr1 C2|1 31.89 cM	mouse chr1 C2|1 31.89 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	227195	Ino80d
mouse chr19 C2|19 32.02 cM	mouse chr19 C2|19 32.02 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	107182	Btaf1
mouse chr4 E2|4 87.61 cM	mouse chr4 E2|4 87.61 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	13542	Dvl1
mouse chr4 A5|4 14.61 cM	mouse chr4 A5|4 14.61 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	56228	Ube2j1
mouse chr5 C1|5 29.37 cM	mouse chr5 C1|5 29.37 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	19664	Rbpj
mouse chr17 A1|17 3.59 cM	mouse chr17 A1|17 3.59 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	20975	Synj2
mouse chr13 A1|13 5.28 cM	mouse chr13 A1|13 5.28 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	17101	Lyst
mouse chr17 A1|17 8.33 cM	mouse chr17 A1|17 8.33 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	68262	Agpat4
mouse chr19 C2|19 31.59 cM	mouse chr19 C2|19 31.59 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	76073	Pcgf5
mouse chr9 B|9 33.27 cM	mouse chr9 B|9 33.27 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	21887	Tle3
mouse chr12 C1|12 23.89 cM	mouse chr12 C1|12 23.89 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	100101806	Srp54c
mouse chr3 H2|3 70.18 cM	mouse chr3 H2|3 70.18 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	16007	Ccn1
mouse chr4 A1|4 6.3 cM	mouse chr4 A1|4 6.3 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	73314	Lrrc69
mouse chr6 C1|6 32.18 cM	mouse chr6 C1|6 32.18 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	104263	Kdm3a
mouse chr10 D1|10 58.24 cM	mouse chr10 D1|10 58.24 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	237542	Osbpl8
mouse chr8 B3.3|8 34.41 cM	mouse chr8 B3.3|8 34.41 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	270058	Map1s
mouse chr11 B1.3|11 32.07 cM	mouse chr11 B1.3|11 32.07 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	30805	Slc22a4
mouse chr4 D2.3|4 64.53 cM	mouse chr4 D2.3|4 64.53 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	57317	Srsf4
mouse chr5 G2|5 81.8 cM	mouse chr5 G2|5 81.8 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	11461	Actb
mouse chr3 E3|3 35.13 cM	mouse chr3 E3|3 35.13 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	68659	Gask1b
mouse chr2 A3|2 18.95 cM	mouse chr2 A3|2 18.95 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	353156	Egfl7
mouse chr11 E1|11 73.53 cM	mouse chr11 E1|11 73.53 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	217265	Abca5
mouse chr3 B|3 18.49 cM	mouse chr3 B|3 18.49 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	99696	Ankrd50
mouse chr7 F3|7 70.07 cM	mouse chr7 F3|7 70.07 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	21804	Tgfb1i1
mouse chr11 B5|11 47.94 cM	mouse chr11 B5|11 47.94 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	12569	Cdk5r1
mouse chr11 D|11 62.68 cM	mouse chr11 D|11 62.68 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	192160	Casc3
mouse chr10 B4|10 29.31 cM	mouse chr10 B4|10 29.31 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	110829	Lims1
mouse chr14 C1|14 22.86 cM	mouse chr14 C1|14 22.86 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	50527	Ero1a
mouse chr3 A3|3 16.41 cM	mouse chr3 A3|3 16.41 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	14359	Fxr1
mouse chr12 A1.1|12 3.92 cM	mouse chr12 A1.1|12 3.92 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	80913	Pum2
mouse chr7 B1|7 19.56 cM	mouse chr7 B1|7 19.56 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	67070	Lsm14a
mouse chr3 A1|3 2.23 cM	mouse chr3 A1|3 2.23 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	21985	Tpd52
mouse chr2 E2|2 54.98 cM	mouse chr2 E2|2 54.98 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	228413	Prrg4
mouse chr3 G3|3 60.55 cM	mouse chr3 G3|3 60.55 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	68436	Rpl34
mouse chr1 H3|1 79.86 cM	mouse chr1 H3|1 79.86 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	93842	Igsf9
mouse chr12 C1|12 22.9 cM	mouse chr12 C1|12 22.9 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	112407	Egln3
mouse chr12 C2|12 28.78 cM	mouse chr12 C2|12 28.78 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	66244	Nemf
mouse chr9 B|9 31.8 cM	mouse chr9 B|9 31.8 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	330953	Hcn4
mouse chr10 D3|10 76.75 cM	mouse chr10 D3|10 76.75 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	17904	Myl6
mouse chr1 40.94 cM|1 C4	mouse chr1 40.94 cM|1 C4	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	69368	Wdfy1
mouse chr1 D|1 46.03 cM	mouse chr1 D|1 46.03 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	16978	Lrrfip1
mouse chr16 B2|16 22.45 cM	mouse chr16 B2|16 22.45 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	268882	Fbxo45
mouse chr15 D1|15 28.07 cM	mouse chr15 D1|15 28.07 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	74548	Gsdmc4
mouse chr18 E1|18 34.77 cM	mouse chr18 E1|18 34.77 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	319713	Ablim3
mouse chr11 A1|11 2.6 cM	mouse chr11 A1|11 2.6 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	74309	Osbp2
mouse chr16 C3.3|16 49.54 cM	mouse chr16 C3.3|16 49.54 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	74112	Usp16
mouse chr9 A2|9 4.12 cM	mouse chr9 A2|9 4.12 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	75723	Amotl1
mouse chr15 F3|15 57.6 cM	mouse chr15 F3|15 57.6 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	66151	Prr13
mouse chr3 G3|3 61.56 cM	mouse chr3 G3|3 61.56 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	71793	Ints12
mouse chr11 A4|11 18.4 cM	mouse chr11 A4|11 18.4 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	20856	Stc2
mouse chr16 A1|16 6.37 cM	mouse chr16 A1|16 6.37 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	66409	Rsl1d1
mouse chr4 B1|4 23.1 cM	mouse chr4 B1|4 23.1 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	50798	Gne
mouse chr3 G1|3 50.42 cM	mouse chr3 G1|3 50.42 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	15247	Mfsd14a
mouse chr17 C|17 22.89 cM	mouse chr17 C|17 22.89 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	56055	Gtpbp2
mouse chr7 E2|7 54.54 cM	mouse chr7 E2|7 54.54 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	73683	Atg16l2
mouse chr15 F1|15 56.22 cM	mouse chr15 F1|15 56.22 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	11908	Atf1
mouse chr1 C1.2|1 28.0 cM	mouse chr1 C1.2|1 28.0 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	67876	Coq10b
mouse chr17 A1|17 4.88 cM	mouse chr17 A1|17 4.88 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	75296	Cep43
mouse chr15 F3|15 58.9 cM	mouse chr15 F3|15 58.9 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	16402	Itga5
mouse chr8 A1.1|8 2.0 cM	mouse chr8 A1.1|8 2.0 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	15568	Elavl1
mouse chr12 C2|12 28.81 cM	mouse chr12 C2|12 28.81 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	11845	Arf6
mouse chr12 E|12 55.82 cM	mouse chr12 E|12 55.82 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	76559	Atg2b
mouse chr18 E1|18 34.7 cM	mouse chr18 E1|18 34.7 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	68982	1500015A07Rik
mouse chrX A1.1|X 8.17 cM	mouse chrX A1.1|X 8.17 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	13205	Ddx3x
mouse chr8 A3|8 18.05 cM	mouse chr8 A3|8 18.05 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	67920	Mak16
mouse chr10 A4|10 17.45 cM	mouse chr10 A4|10 17.45 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	268291	Rnf217
mouse chr11 D|11 64.32 cM	mouse chr11 D|11 64.32 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	217198	Plekhh3
mouse chr11 A1|11 4.99 cM	mouse chr11 A1|11 4.99 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	319939	Tns3
mouse chr12 A1.1|12 1.88 cM	mouse chr12 A1.1|12 1.88 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	13528	Dtnb
mouse chr7 F3|7 69.77 cM	mouse chr7 F3|7 69.77 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	20909	Stx4a
mouse chr17 A1- A2|17 8.95 cM	mouse chr17 A1- A2|17 8.95 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	17356	Afdn
mouse chr4 E2|4 87.31 cM	mouse chr4 E2|4 87.31 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	246228	Vwa1
mouse chrX C3|X 42.58 cM	mouse chrX C3|X 42.58 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	76130	Las1l
mouse chr6 F3|6 62.92 cM	mouse chr6 F3|6 62.92 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	21679	Tead4
mouse chr13 A4|13 20.72 cM	mouse chr13 A4|13 20.72 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	110521	Hivep1
mouse chr7 F2|7 64.27 cM	mouse chr7 F2|7 64.27 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	233805	Dcun1d3
mouse chr1 H3|1 79.28 cM	mouse chr1 H3|1 79.28 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	240913	Adamts4
mouse chrX C3|X 41.53 cM	mouse chrX C3|X 41.53 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	236904	Klhl15
mouse chr18 39.96 cM|18 E1	mouse chr18 39.96 cM|18 E1	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	67951	Tubb6
mouse chr18 B3|18 19.84 cM	mouse chr18 B3|18 19.84 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	319262	Fchsd1
mouse chr11 B2|11 37.83 cM	mouse chr11 B2|11 37.83 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	237782	Smcr8
mouse chr2 H4|2 97.26 cM	mouse chr2 H4|2 97.26 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	19334	Rab22a
mouse chr6 D1|6 40.73 cM	mouse chr6 D1|6 40.73 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	21366	Slc6a6
mouse chr9 A3|9 8.3 cM	mouse chr9 A3|9 8.3 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	12797	Cnn1
mouse chr6 59.17 cM|6 F2	mouse chr6 59.17 cM|6 F2	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	54137	Acrbp
mouse chr16 C2|16 40.19 cM	mouse chr16 C2|16 40.19 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	74185	Gbe1
mouse chr3 G1|3 53.82 cM	mouse chr3 G1|3 53.82 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	69608	Sec24d
mouse chr1 C4|1 38.88 cM	mouse chr1 C4|1 38.88 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	11790	Speg
mouse chr9 A4|9 14.38 cM	mouse chr9 A4|9 14.38 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	235106	Ntm
mouse chr4 A5|4 14.75 cM	mouse chr4 A5|4 14.75 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	108767	Pnrc1
mouse chr14 D3|14 42.61 cM	mouse chr14 D3|14 42.61 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	66897	Naa16
mouse chr11 E2|11 84.59 cM	mouse chr11 E2|11 84.59 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	71276	Ccdc57
mouse chr6 G2|6 70.71 cM	mouse chr6 G2|6 70.71 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	11569	Aebp2
mouse chr2 H4|2 102.56 cM	mouse chr2 H4|2 102.56 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	269397	Ss18l1
mouse chr7 F3|7 73.88 cM	mouse chr7 F3|7 73.88 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	68277	2310057M21Rik
mouse chr18 E3|18 56.26 cM	mouse chr18 E3|18 56.26 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	329002	Zfp236
mouse chr6 E3|6 52.83 cM	mouse chr6 E3|6 52.83 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	381801	Tatdn2
mouse chr11 B5|11 47.95 cM	mouse chr11 B5|11 47.95 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	338367	Myo1d
mouse chr17 A3.3|17 13.28 cM	mouse chr17 A3.3|17 13.28 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	19252	Dusp1
mouse chr4 C6|4 47.36 cM	mouse chr4 C6|4 47.36 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	71148	Mier1
mouse chr1 B|1 18.32 cM	mouse chr1 B|1 18.32 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	100217461	Snord89
mouse chr8 B3.3|8 34.81 cM	mouse chr8 B3.3|8 34.81 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	326618	Tpm4
mouse chr19 C3|19 36.71 cM	mouse chr19 C3|19 36.71 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	12675	Chuk
mouse chr12 E|12 51.17 cM	mouse chr12 E|12 51.17 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	68734	Ppp4r3a
mouse chr11 B4|11 44.34 cM	mouse chr11 B4|11 44.34 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	77577	Spns3
mouse chr6 A2|6 7.67 cM	mouse chr6 A2|6 7.67 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	21753	Tes
mouse chr5 C3.1|5 33.67 cM	mouse chr5 C3.1|5 33.67 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	22235	Ugdh
mouse chr15 E3|15 44.24 cM	mouse chr15 E3|15 44.24 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	223773	Zbed4
mouse chr18 B1|18 18.8 cM	mouse chr18 B1|18 18.8 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	15526	Hspa9
mouse chr5 C1|5 29.69 cM	mouse chr5 C1|5 29.69 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	116873	Stim2
mouse chr7 E1|7 50.54 cM	mouse chr7 E1|7 50.54 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	83671	Sytl2
mouse chr4 D3|4 70.28 cM	mouse chr4 D3|4 70.28 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	68350	Mul1
mouse chr11 D|11 61.58 cM	mouse chr11 D|11 61.58 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	217154	Stac2
mouse chr11 E2|11 81.1 cM	mouse chr11 E2|11 81.1 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	14428	Galr2
mouse chr12 D1|12 38.81 cM	mouse chr12 D1|12 38.81 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	67039	Rbm25
mouse chr14 D3|14 41.56 cM	mouse chr14 D3|14 41.56 cM	0.0773819386910871	-2.55900187586121	1	1	0.000535331905781585	1868	24140	380921	Dgkh
